"date","trap.visit.id","station","catch.raw.id","release.id","species","count","at.capture.run","final.run","final.run.method","life.stage","fork.length","weight","mort","fish.origin","mark.type","catch.raw.comments","specimen.type.id","physical.specimen.code","specimen.comments","calendar.year","water.year"
2017-02-09,8317,"ST004L1B",78422,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",34,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-09,8317,"ST004L1B",78423,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",36,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-09,8317,"ST004L1B",78424,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",33,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-09,8317,"ST004L1B",78425,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",33,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-09,8317,"ST004L1B",78426,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",34,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-09,8317,"ST004L1B",78399,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",36,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-09,8317,"ST004L1B",78413,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",35,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-09,8313,"ST004L1",78095,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",31,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-09,8313,"ST004L1",78107,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",33,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-09,8313,"ST004L1",78084,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",34,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-09,8313,"ST004L1",78085,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",38,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
