releaseID,releaseFishID,forkLength,ReleaseFish.comments
269,2651,35,
269,2650,38,
269,2649,37,
269,2648,36,
269,2676,35,
269,2646,36,
269,2657,35,
269,2644,36,
269,2643,37,
269,2642,37,
269,2641,38,
269,2640,36,
269,2639,37,
269,2638,38,
269,2637,36,
269,2647,37,
269,2665,35,
269,2675,37,
269,2674,37,
269,2673,39,
269,2672,37,
269,2671,40,
269,2670,40,
269,2669,35,
269,2668,35,
269,2655,34,
269,2666,37,
269,2656,37,
269,2664,37,
269,2663,38,
269,2662,37,
269,2661,36,
269,2660,35,
269,2659,35,
269,2658,37,
269,2634,36,
269,2667,37,
269,2601,37,
269,2636,37,
269,2610,36,
269,2609,38,
269,2608,35,
269,2607,35,
269,2606,36,
269,2605,37,
269,2604,37,
269,2612,37,
269,2602,37,
269,2613,37,
269,2600,37,
269,2599,36,
269,2598,37,
269,2597,37,
269,2596,36,
269,2595,38,
269,2760,36,
269,2842,34,
269,2603,38,
269,2624,38,
269,2619,37,
269,2633,36,
269,2632,36,
269,2631,39,
269,2630,37,
269,2629,36,
269,2628,36,
269,2627,35,
269,2611,36,
269,2625,36,
269,2635,35,
269,2623,37,
269,2622,37,
269,2621,36,
269,2620,37,
269,2618,38,
269,2616,37,
269,2615,37,
269,2614,35,
269,2626,37,
269,2728,38,
269,2719,38,
269,2737,36,
269,2736,36,
269,2735,37,
269,2734,36,
269,2733,37,
269,2732,35,
269,2731,37,
269,2739,39,
269,2729,35,
269,2740,36,
269,2727,37,
269,2726,37,
269,2725,37,
269,2724,37,
269,2723,35,
269,2722,37,
269,2721,35,
269,2720,38,
269,2730,36,
269,2751,37,
269,2758,36,
269,2759,36,
269,2617,36,
269,2677,35,
269,2757,35,
269,2756,38,
269,2755,35,
269,2754,37,
269,2738,36,
269,2752,37,
269,2745,37,
269,2750,38,
269,2749,35,
269,2748,35,
269,2746,39,
269,2744,38,
269,2743,38,
269,2742,38,
269,2741,36,
269,2753,35,
269,2685,37,
269,2697,36,
269,2696,37,
269,2695,36,
269,2694,38,
269,2693,36,
269,2692,37,
269,2691,38,
269,2690,38,
269,2698,37,
269,2687,35,
269,2688,39,
269,2684,35,
269,2683,37,
269,2682,37,
269,2718,40,
269,2747,37,
269,2681,36,
269,2680,36,
269,2678,36,
269,2679,37,
269,2689,35,
269,2708,35,
269,2713,37,
269,2712,36,
269,2686,37,
269,2714,33,
269,2699,38,
269,2715,37,
269,2711,38,
269,2709,36,
269,2707,35,
269,2706,35,
269,2704,36,
269,2700,38,
269,2716,37,
269,2701,37,
269,2703,35,
269,2705,36,
269,2710,37,
269,2717,37,
269,2702,36,
270,3082,37,
270,3086,39,
270,3085,37,
270,3084,37,
270,3077,38,
270,3078,39,
270,3081,38,
270,3087,37,
270,3094,37,
270,3080,39,
270,3079,38,
270,3083,36,
270,3097,38,
270,3101,37,
270,3102,38,
270,3100,38,
270,3099,39,
270,3057,37,
270,3092,37,
270,3098,36,
270,3088,37,
270,3096,37,
270,3095,38,
270,3093,37,
270,3091,38,
270,3090,38,
270,3089,37,
270,3076,39,
270,3061,38,
270,3047,37,
270,3048,38,
270,3145,38,
270,3103,37,
270,3049,37,
270,3050,36,
270,3051,37,
270,3052,36,
270,3053,36,
270,3054,38,
270,3055,37,
270,3056,37,
270,3059,37,
270,3060,40,
270,3075,37,
270,3062,36,
270,3063,38,
270,3064,37,
270,3065,39,
270,3066,37,
270,3067,36,
270,3068,38,
270,3069,38,
270,3070,37,
270,3071,38,
270,3072,37,
270,3073,38,
270,3074,40,
270,3058,36,
270,3151,39,
270,3143,37,
270,3136,36,
270,3137,37,
270,3138,38,
270,3139,38,
270,3140,36,
270,3141,37,
270,3142,38,
270,3144,37,
270,3146,40,
270,3147,39,
270,3148,37,
270,3134,37,
270,3150,37,
270,3133,37,
270,3152,36,
270,3153,40,
270,3154,36,
270,3155,37,
270,3156,37,
270,3157,35,
270,3158,37,
270,3159,36,
270,3160,36,
270,3161,37,
270,3162,39,
270,3046,36,
270,3010,37,
270,3149,36,
270,3119,37,
270,3105,37,
270,3106,40,
270,3107,37,
270,3108,38,
270,3109,40,
270,3110,36,
270,3111,40,
270,3112,36,
270,3113,37,
270,3114,37,
270,3115,38,
270,3116,37,
270,3135,38,
270,3118,37,
270,3104,37,
270,3120,38,
270,3121,40,
270,3122,36,
270,3123,35,
270,3124,39,
270,3125,39,
270,3126,38,
270,3127,37,
270,3128,37,
270,3129,38,
270,3130,37,
270,3131,38,
270,3132,36,
270,3117,34,
270,2971,37,
270,2957,38,
270,2958,37,
270,2959,36,
270,2960,38,
270,2961,35,
270,2962,40,
270,2963,37,
270,2964,39,
270,2965,40,
270,2966,39,
270,2967,38,
270,2968,37,
270,2984,36,
270,2970,36,
270,2954,37,
270,2972,40,
270,2973,37,
270,2974,36,
270,2975,37,
270,2976,36,
270,2977,40,
270,2978,38,
270,2979,36,
270,2980,36,
270,2981,38,
270,2982,37,
270,2983,37,
270,2969,37,
270,2941,38,
270,2927,37,
270,2928,36,
270,2929,38,
270,2930,38,
270,2931,37,
270,2932,36,
270,3012,38,
270,2934,36,
270,3045,38,
270,2936,38,
270,2937,39,
270,2938,36,
270,2956,37,
270,2940,37,
270,2955,42,
270,2942,36,
270,2943,37,
270,2944,40,
270,2945,38,
270,2946,36,
270,2947,37,
270,2948,39,
270,2949,38,
270,2950,37,
270,2951,37,
270,2952,36,
270,2953,38,
270,2935,37,
270,2939,36,
270,3032,38,
270,3018,38,
270,3019,40,
270,3020,39,
270,3021,40,
270,3022,38,
270,3023,37,
270,3024,37,
270,3025,37,
270,3026,37,
270,3027,38,
270,3028,37,
270,3029,37,
270,3017,37,
270,3031,37,
270,3040,39,
270,3033,38,
270,3034,39,
270,3035,36,
270,3036,36,
270,3037,39,
270,3038,38,
270,3039,40,
270,3041,37,
270,3043,36,
270,3044,36,
270,2985,38,
270,2933,37,
270,3030,38,
270,2989,41,
270,2986,39,
270,2987,37,
270,3042,41,
270,3016,39,
270,2988,37,
270,2990,38,
270,2991,38,
270,2992,37,
270,2993,37,
270,2994,38,
270,2995,39,
270,2996,36,
270,2997,36,
270,2998,38,
270,3009,35,
270,3011,37,
270,2999,38,
270,3014,37,
270,3013,38,
270,3015,36,
270,3008,36,
270,3007,38,
270,3000,37,
270,3005,39,
270,3004,37,
270,3003,37,
270,3002,38,
270,3006,38,
270,3001,38,
271,3293,37,
271,3299,37,
271,3298,38,
271,3297,37,
271,3296,37,
271,3292,37,
271,3294,37,
271,3305,36,
271,3291,38,
271,3290,36,
271,3295,38,
271,3300,37,
271,3301,39,
271,3302,35,
271,3311,37,
271,3304,36,
271,3306,37,
271,3307,33,
271,3308,37,
271,3309,36,
271,3310,37,
271,3289,36,
271,3275,37,
271,3312,37,
271,3303,35,
271,3276,35,
271,3344,35,
271,3313,34,
271,3265,38,
271,3266,37,
271,3267,37,
271,3268,39,
271,3269,36,
271,3270,36,
271,3271,38,
271,3272,36,
271,3277,38,
271,3274,36,
271,3288,39,
271,3278,38,
271,3279,37,
271,3280,35,
